Title,Poem,Poet,Tags,Cluster
Jane Austen,"“A fine Sunday in Bath empties every house of its inhabitants, and all the world appears on such an occasion to walk about and tell their acquaintance what a charming day it is.” —northanger abbey\n\n\n\n\n\n\n\nI awoke from the tunnel\n\nto the fields of yellow rape,\n\nseventeenth-century buildings, and cobbled\n\nstreets as she would have seen them.\n\nIt was rainy; the rain came and went,\n\ncame and went so that you could not escape\n\nits dampness. I understood the need for tea\n\nand the luxury of cremes and pastries\n\nand why the ladies longed for a strong shoulder\n\nto see them through the winter.\n\nThe seagulls cried overhead,\n\nthough there was no sea, only a muddy river\n\nfrom Bath to Bristol. The scavengers\n\nlived on the rooftops and if desperate\n\nenough would swoop down and take\n\na sandwich from your hand.\n\nI secured my room at the Royal Bath Hotel.\n\nIt was a hovel, really, with a carpet\n\nas old as the early century.\n\nWalking through the hotel,\n\nI sensed something lurid\n\nin the air, every eye upon me as if they knew\n\nI was a foreigner in a strange land.\n\nOver the bed, a burgundy bedspread\n\ndusty and faded as vintage wine,\n\nmade me long for the bright color of red.\n\nIn the next room, sleepless, I heard\n\nthrough thin walls the sounds\n\nof an un-tender coupling.\n\nI looked in the warped mirror\n\nand found myself ugly\n\nand when I turned from it,\n\ncould not escape the vision.\n\nIt lingered. The rain came and went,\n\ncame and went. I took an umbrella\n\nand began my walk, hoping to come upon\n\nher quarters. I passed the Roman Baths,\n\nthe statues not beautiful,\n\nbut puckered and fossilled\n\nand the Pump Room where her protagonist,\n\nother self, doppelgänger,\n\ngood, strong, loyal Catherine,\n\nlonging for companionship, fell\n\nunder the seduction of Isabella\n\nand her reprehensible brother.\n\nEven then her coming out\n\nseemed less magisterial,\n\nand Bath a representation of the emptiness\n\nand evils of society where a woman’s dowry\n\nmight confine her forever,\n\nthan a reprieve from country life.\n\nI gave up my search.\n\nImages were everywhere.\n\nAnd my mind had been made up.\n\nI perceived no romance\n\nin the wind, no comfort in the hard\n\nglances of strangers, girls with chipped nail polish,\n\nlads unkempt as if there were no hope of glory.\n\nThe next morning I boarded the train\n\nto the modern world and it wasn’t until a sheet\n\nof blue slipped out like a love letter\n\nfrom its envelope of dark gray sky\n\nthat I knew the journey had ended\n\nand, like Catherine, I was finally safe.",Jill Bialosky,"Travels & Journeys,Reading & Books",0
Anne Frank Huis,"Even now, after twice her lifetime of grief\n\nand anger in the very place, whoever comes\n\nto climb these narrow stairs, discovers how\n\nthe bookcase slides aside, then walks through\n\nshadow into sunlit room, can never help\n\n \n\nbut break her secrecy again. Just listening\n\nis a kind of guilt: the Westerkirk repeats\n\nitself outside, as if all time worked round\n\ntowards her fear, and made each stroke\n\ndie down on guarded streets. Imagine it—\n\n \n\nfour years of whispering, and loneliness,\n\nand plotting, day by day, the Allied line\n\nin Europe with a yellow chalk. What hope\n\nshe had for ordinary love and interest\n\nsurvives her here, displayed above the bed\n\n \n\nas pictures of her family; some actors;\n\nfashions chosen by Princess Elizabeth.\n\nAnd those who stoop to see them find\n\nnot only patience missing its reward,\n\nbut one enduring wish for chances\n\n \n\nlike my own: to leave as simply\n\nas I do, and walk at ease\n\nup dusty tree-lined avenues, or watch\n\na silent barge come clear of bridges\n\nsettling their reflections in the blue canal.\n\n ",Andrew Motion,War & Conflict,0
Passing On,"By noon your breathing had changed from normal\n\nto shallow and panicky. That’s when the nurse saidNearly there now, in the gentle voice of a parent\n\ncomforting a child used to failure, slipping her arms\n\nbeneath your shoulders to hoist you up the pillows,\n\nthen pressing a startling gauze pad under your jaw.\n\n \n\nNearly there now. The whole world seemed to agree—\n\nas the late April sky deepened through the afternoon\n\ninto high August blue, the vapour trails of two planes\n\nconverged to sketch a cross on the brow of heaven.\n\nMy brother Kit and I kept our backs turned to that\n\nexcept now and again. It was the room I wanted to see,\n\n \n\nbecause it contained your last example of everything:\n\nthe broken metal window-catch that meant no fresh air;\n\nyour toothbrush standing to attention in its plastic mug;\n\nthe neutral pink walls flushed into definite pale red\n\nby sunlight rejoicing in the flowering cherry outside;\n\nyour dressing-gown like a stranger within the wardrobe\n\n \n\neavesdropping. That should have been a sign to warn us,\n\nbut unhappiness made us brave, or do I mean cowardly,\n\nand Kit and I talked as if we were already quite certain\n\nyou could no longer hear us, saying how easy you were\n\nto love, but how difficult always to satisfy and relax—\n\nhow impossible to talk to, in fact, how expert with silence.\n\n \n\nYou breathed more easily by the time we were done,\n\nalthough the thought you might have heard us after all,\n\nand our words be settling into your soft brain like stones\n\nonto the bed of a stream—that made our own breathing\n\ntighter. Then the nurse looked in: Nothing will changehere for a while boys, and we ducked out like criminals.\n\n \n\nI was ordering two large gins in the pub half a mile off\n\nwhen my mobile rang. It was the hospital. You had died.\n\nI put my drink down, then thought again and finished it.\n\nFive minutes later we were back at the door of your room\n\nwondering whether to knock. Would everything we said\n\nbe written on your face, like the white cross on the heavens?\n\n \n\nOf course not. It was written in us, where no one could find it\n\nexcept ourselves. Your own face was wiped entirely clean—\n\nand so, with your particular worries solved, and your sadness,\n\nI could see more clearly than ever how like mine it was,\n\nand therefore how my head will eventually look on the pillow\n\nwhen the wall opens behind me, and I depart with my failings.\n\n ",Andrew Motion,Death,1
A Moment of Reflection,"28 June 1914\n\n\n\n\n\n\n\nAlthough an assassin has tried\n\nand failed to blow him to pieces earlier this morning,\n\nArchduke Ferdinand has let it be known\n\nhe will very soon complete his journey\n\nas planned along the quay in Sarajevo.\n\n \n\nFor a moment, however,\n\nhe has paused to recover his composure\n\nat the window of a private room in the Town Hall,\n\nafter finding the blood of his aide-de-camp\n\nspattered over the manuscript of the speech\n\nhe was previously unable to complete.\n\n \n\nAnd indeed,\n\nthe prospect of an Austrian brewery in the distance\n\nis reassuring,\n\nlikewise the handsome bulk of the barracks\n\nfilled with several thousand soldiers of the fatherland.\n\n \n\nThis is how those who survive today will remember him:\n\n \n\na man thinking his thoughts\n\nuntil his wife has finished her duties—\n\nthe Countess Chotek, with her pinched yet puddingy features,\n\nto whom he will whisper shortly,\n\n‘Sophie, live for our children’,\n\nalthough she will not hear.\n\n \n\nAs for his own memories:\n\n \n\nthe Head of the local Tourist Bureau has now arrived\n\nand taken it upon himself to suggest\n\nthe Archduke might be happy to recall the fact\n\nthat only last week he bagged his three thousandth stag.\n\n \n\nWas this, the Head dares to enquire,\n\nwith the double-barrelled Mannlicher\n\nmade for him especially—\n\nthe same weapon he used to dispatch\n\ntwo thousand one hundred and fifty game birds\n\nin a single day,\n\nand sixty boars in a hunt led by the Kaiser?\n\n \n\nThese are remarkable achievements\n\nthe Head continues,\n\non the same level as the improvement\n\nthe Archduke has suggested in the hunting of hare,\n\nby which the beaters,\n\nforming themselves into a wedge-shape,\n\nsqueeze those notoriously elusive creatures\n\ntowards a particular spot\n\nwhere he can exceed the tally of every other gun.\n\n \n\nIn the silence that follows\n\nit is not obvious whether the Archduke\n\nhas heard the question.\n\n \n\nHe has heard it.\n\n \n\nHe is more interested, however,\n\nin what these questions bring to mind:\n\n \n\nan almost infinite number of woodcock,\n\npigeon, quail, pheasant and partridge,\n\nwild boars bristling flank to flank,\n\nmallard and teal and geese\n\ndangling from the antlers of stags,\n\nlayer and layer of rabbits\n\nand other creatures that are mere vermin—\n\n \n\na haul that he predicts will increase\n\nonce the business of today has been completed.",Andrew Motion,"Sports & Outdoor Activities,History & Politics",0
Losses,"General Petraeus, when the death-count of American troops\n\nin Iraq was close to 3,800, said ‘The truth is you never do get\n\nused to losses. There is a kind of bad news vessel with holes,\n\n \n\nand sometimes it drains, then it fills up, then it empties again’—\n\nleaving, in this particular case, the residue of a long story\n\ninvolving one soldier who, in the course of his street patrol,\n\n \n\ntweaked the antenna on the TV in a bar hoping for baseball,\n\nbut found instead the snowy picture of men in a circle talking,\n\nall apparently angry and perhaps Jihadists. They turned out to be\n\n \n\nreciting poetry. ‘My life’, said the interpreter, ‘is like a bag of flour\n\nthrown through wind into empty thorn bushes’. Then ‘No, no’, he said,\n\ncorrecting himself. ‘Like dust in the wind. Like a hopeless man.’",Andrew Motion,"Poetry & Poets,War & Conflict",1
Laying the Fire,"I am downstairs early\n\nlooking for something to do\n\n \n\nwhen I find my father on his knees\n\nat the fireplace in the sitting-room\n\nsweeping ash\n\nfrom around and beneath the grate\n\nwith the soft brown hand-brush\n\nhe keeps especially for this.\n\n \n\nHas he been here all night\n\nwaiting to catch me out?\n\nSo far as I can tell\n\nI have done nothing wrong.\n\n \n\nI think so again\n\nwhen he calls my name\n\nwithout turning round;\n\n \n\nhe must have seen me\n\nwith the eyes in the back of his head.\n\n \n\n‘What’s the matter old boy?\n\nCouldn’t sleep?’\n\n \n\nHis voice is kinder than I expect,\n\nas though he knows\n\nwe have in common a sadness\n\nI do not feel yet.\n\n \n\nI skate towards him in my grey socks\n\nover the polished boards of the sitting-room,\n\n \n\nnegotiating the rugs\n\nwith their patterns of almost-dragons.\n\n \n\nHe still does not turn round.\n\n \n\nHe is concentrating now\n\non arranging a stack of kindling\n\non crumpled newspaper in the fire basket,\n\n \n\npressing small lumps of coal\n\ncarefully between the sticks\n\nas though he is decorating a cake.\n\n \n\nThen he spurts a match,\n\nand chucks it on any old how,\n\n \n\nbefore spreading a fresh sheet of newspaper\n\nover the whole mouth of the fireplace\n\nto make the flames take hold.\n\n \n\nWhy this fresh sheet\n\ndoes not also catch alight\n\nI cannot think.\n\n \n\nThe flames are very close.\n\n \n\nI can see them\n\nand hear them raging\n\nthrough yesterday’s cartoon of President Kennedy\n\n \n\nand President Khrushchev\n\nracing towards each other in their motorcars\n\nboth shouting\n\nI’m sure he’s going to stop first!\n\n \n\nBut there’s no need to worry.\n\nEverything\n\nis just as my father wants it to be,\n\nand in due time,\n\nwhen the fire is burning nicely,\n\nhe whisks the newspaper clear,\n\n \n\nfolds it under his arm,\n\n \n\nand picks up the dustpan\n\nwith the debris of the night before.\n\n \n\nHas he just spoken to me again?\n\nI do not think so. I\n\ndo not know.\n\nI was thinking how neat he is.\n\nI was asking myself:\n\nwill I be like this? How will I manage?\n\n \n\nAfter that he chooses a log\n\nfrom the wicker wood-basket\n\nto balance on the coals,\n\nand admires his handiwork.\n\n \n\nWhen the time comes to follow him,\n\nglide, glide over the polished floor,\n\nhe leads the way to the dustbins.\n\n \n\nA breath of ash\n\npours continuously over his shoulder\n\nfrom the pan he carries before him\n\nlike a man bearing a gift\n\nin a picture of a man bearing a gift.",Andrew Motion,"Indoor Activities,Home Life",2
In My Little Room,"In my little room, the emperor removes\n\nhis robe and we chat\n\nabout the mechanics of winning\n\nan election.\n\n“I came, I saw, I conquered,” he says.\n\nWhen the moon comes out above the\n\ndilapidated warehouse, he asks me\n\nthe profundity of going to the moon\n\nand back again to the same ghetto room.\n\n \n\nIf it pleases your majesty, I say,\n\nthe gods make the ghettos.\n\n“I am King,” says the emperor, “I shall\n\nhave no gods.”\n\nAnd he shakes, nearly spilling his oolong tea.\n\nWhen he has calmed down enough, I\n\ndrop two lumps of sugar into his cup.\n\nHe marvels at my calculus book and integration\n\ntheory and digital watch.\n\n“Had I one of those,” he says, “I would have timed\n\nmy crossing of the Rubicon at eighteen,\n\nand what barbarian woman would not have given herself\n\nfor that!”\n\n \n\nHe yawns imperially over\n\nmy utensils, books, and cot\n\nand asks me to cross the Rubicon with him.\n\nAnd I nod while doing tax equations for his majesty\n\nbecause the hour is late.\n\nHe is delighted with the hot chocolate\n\nthat I make on a hot plate\n\nand, after making a rough estimate of the roaches\n\non the wall, he sleeps on my cot\n\nas any sovereign would.\n\n \n\nI rattle my typewriter like a machine-\n\ngun all night, partly because it is my\n\nhabit, and partly to protect my friend,\n\nthe emperor. For though he has crossed\n\nthe Rubicon with the bravest of men,\n\nhe has yet to sleep a single night\n\nin the ghetto.",Koon Woon,Money & Economics,0
Let the Chinese Mafia Sleep Tonight,"Let them sleep and dream the dream of lobsters;\n\nI am likewise at peace in my little cottage\n\ntrying to become Mr. Five Willows.\n\n \n\nI figure a crabapple is useful to no one but itself,\n\nbut my safety depends on having no place where death can enter\n\nand not acting on every rustling of the smallest branch.\n\n \n\nMy abode is at the bank of a river, a river that comes\n\nout of the marsh where the river merchant’s wife\n\nhas pined for her departed husband for the last 300 years.\n\n \n\nBeetles fight on a dung heap; that’s the essence of war.\n\nWith axes and arrows, a superior force approaches my door;\n\nlet them knock lightly, so as not to disturb the\n\n \n\nbird in the cage, which I am coaxing to sing,\n\nwhile the candle burns to illumine the midnight lore\n\nwhose frayed texts drive me to the brink of insanity.\n\n \n\nLet them all sleep and dream that the God of War\n\nhas brought them riches in the shape of gold nuggets\n\nonly to find in the morning\n\nan empty store.\n\n \n\nYou can be in my dreams\n\nif I can be in yours. In any case,\n\nlet the Chinese mafia sleep tonight\n\nso I can be at peace\n\n \n\nand in the morning, open wide my door.",Koon Woon,,7
Goldfish,"The goldfish in my bowl\n\nturns into a carp each night.\n\nSwimming in circles in the day,\n\nregal, admired by emperors,\n\nbut each night, while I sleep,\n\nit turns into silver, a dagger\n\ncold and sharp, couched at one spot,\n\nenough to frighten cats.\n\n \n\nThe rest of the furniture\n\nsquats in the cold and dark,\n\ncomplains of being a lone man’s\n\nfurnishings, and plots a revolt.\n\nI can hear myself snore, but not\n\ntheir infidelity. Sometimes I wake\n\nwith a start; silently they move back\n\ninto their places.\n\n \n\nI have been unpopular with myself,\n\npacing in my small, square room.\n\nBut my uncle said, “Even in a palace,\n\nyou can but sleep in one room.”\n\nWith this I become humble as a simple\n\npreacher, saying, “I have no powers;\n\nthey emanate from God.”\n\nWith this I sleep soundly,\n\n \n\nFish or no fish, dagger or no dagger.\n\nWhen I wake, my fish is gold,\n\nit pleases me with a trail of bubbles.\n\nMy furniture has been loyal all night,\n\nwaiting to provide me comfort.\n\nThere was no conspiracy against a poor man.\n\nWith this I consider myself king.",Koon Woon,Pets,2
How to Cook Rice,"Measure two handfuls for a prosperous man.\n\nPlace in pot and wash by rubbing palms together\n\nas if you can’t quite get yourself to pray, or\n\nby squeezing it in one fist. Wash\n\nseveral times to get rid of the cloudy water;\n\nwhen you are too high in Heaven, looking down\n\nat the clouds, you can’t see what’s precious below.\n\nRinse with cold water and keep enough so that\n\nit will barely cover your hand placed on the rice.\n\nDon’t use hot water, there are metallic diseases\n\ncolliding in it. This method of measuring water will work\n\nregardless of the size of the pot; if the pot is large,\n\nuse both hands palms down as if to pat your own belly.\n\nNow place on high heat without cover and cook\n\nuntil the water has been boiled away except in craters\n\nresembling those of the moon, important\n\nin ancient times for growing rice. Now place lid on top\n\nand reduce heat to medium, go read your newspaper\n\nuntil you get to the comics, then come back and turn it down to low.\n\nThe heat has been gradually traveling from the outside\n\nto the inside of the rice, giving it texture;\n\na similar thing happens with people, I suppose.\n\n \n\nGo back to your newspaper, finish the comics, and read\n\nthe financial page. Now the rice is done, but before\n\nyou eat, consider the peasant who arcs in leech-infested\n\npaddies and who carefully plants the rice seedlings\n\none by one; on this night, you are eating better than he.\n\nIf you still don’t know how to cook rice, buy a Japanese\n\nautomatic rice cooker; it makes perfect rice every time!",Koon Woon,"Eating & Drinking,Class",2
Kamakura,"I don’t recall when I first understood\n\nwhy you stiffen at the roar of low flying jets—\n\n \n\nDid you tell me, Mother, or did I just know?\n\nWhen you refused to show me the caves like eyes\n\nin the hills behind Bah-chan’s house—\n\n \n\nDid I only dream it, how when the sirens began the trains stopped\n\ndead in their tracks, unleashing a stream of thousands to rush\n\nblind and headlong toward those sheltering hills—\n\n \n\nThe damp press of strange bodies in darkness\n\nrank with the stench of war’s leavings,\n\nonly imagine a young girl’s cries drowned in the tumult,\n\nurgent groping of unseen hands—\n\n \n\nthe bombs raining d0wn on Yokohama Harbor all through\n\nthe night, hothouse blooms crackling in a seething sky,\n\nthen hissing into a boiling sea—\n\n \n\nWas it a millennium that passed before the sirens ceased their wailing,\n\nonly to be taken up again by the dogs and the dying?\n\n \n\nBut you talk of none of this today. We walk slowly,\n\nsaying little, as if less said will keep the heat at bay.\n\nThe air is wet, heavy with summer smells\n\ncarried aloft on the hypnotic drone of cicadas.\n\n \n\nYou show me where as a girl you played in other summers,\n\ncatching kabuto beetles and dragonflies in bamboo cages.\n\n \n\nWhat must go through you when we pass them\n\nat a distance, those black maws yawning out of the hillside,\n\nexhaling the unspeakable?",Mari L'Esperance,War & Conflict,2
Returning to Earth,"When Emperor Hirohito announced\n\nJapan’s defeat over national radio,\n\nhis divinity was broken, fell away\n\nand settled in fine gold dust at his feet.\n\n \n\nHis people understood the gravity\n\nof the occasion—a god does not speak\n\nover the airwaves with a human voice,\n\nordinary and flecked with static. A god\n\ndoes not speak in the common voice\n\nof the earthbound, thick with shame.\n\n \n\nAt the station, my mother, a schoolgirl,\n\nlooked on as men in uniform lurched\n\nfrom the platform into the path\n\nof incoming trains, their slack bodies\n\nlanding on the tracks without sound.",Mari L'Esperance,"Disappointment & Failure,History & Politics,War & Conflict",0
Finding My Mother,"Near dusk I find her in a newly mown field, lying still\n\nand face down in the coarse stubble. Her arms\n\n \n\nare splayed out on either side of her body, palms open\n\nand turned upward like two lilies, the slender fingers\n\n \n\ngently curling, as if holding onto something. Her legs\n\nare drawn up underneath her, as if she fell asleep there\n\n \n\non her knees, perhaps while praying, perhaps intoxicated\n\nby the sweet liquid odor of sheared grass.\n\n \n\nHer small ankles, white and unscarred, are crossed\n\none on top of the other, as if arranged so in ritual fashion.\n\n \n\nHer feet are bare. I cannot see her face, turned\n\ntoward the ground as it is,\n\n \n\nbut her long black hair is lovelier than I remember it,\n\nspilling across her back and down onto the felled stalks\n\n \n\nlike a pour of glossy tar. Her flesh is smooth\n\nand cool, slightly resistant to my touch.\n\n \n\nI begin to look around me for something with which\n\nto carry her back—carry her back, I hear myself say,\n\n \n\nas if the words spoken aloud, even in a dream,\n\nwill somehow make it possible.\n\n \n\nI am alone in a field, at dusk, the light leaving\n\nthe way it has to, leaking away the way it has to\n\n \n\nbehind a ridge of swiftly blackening hills. I lie down\n\non the ground beside my mother under falling darkness\n\n \n\nand draw my coat over our bodies. We sleep there like that.\n\n ",Mari L'Esperance,"The Mind,Friends & Enemies",0
The Book of Ash,"Near the end of my searching\n\n               I came to a door.\n\n \n\nEntering, I found the story\n\n               of her life, laid out like a cake\n\n \n\non an ebony table, as if waiting there\n\n               for the lost bride—pages flat\n\n \n\nand placid, blank as a lake\n\n               asleep in winter. Hoping\n\n \n\nfor answers, some knowledge of her,\n\n               perhaps—I’m not sure what—\n\n \n\nI placed my palm upon the surface.\n\n \n\nIt sank through and disappeared\n\n               beneath a cloud of snowy powder.\n\n ",Mari L'Esperance,,1
Stepping Crow,"Stepping crow. Moon at half mast.\n\nDawn horse, horse, blanket and mule.\n\nThe fool knows something you don’t.\n\n \n\nStepping crow. Both feet in the boat.\n\nBooks stacked up, and nowhere to store ’em.\n\nDecorum is spontaneous order.\n\n \n\nStepping crow. Gone north of the Border.\n\nMagic in motion and magic at rest.\n\nOnly divest, no need to announce it.\n\n \n\nStepping crow. Locked in from the outset.\n\nFeet in the boat and we’re already rowing.\n\nI don’t like thinking, I like already knowing.\n\n \n\nStepping crow. Take hammer to coin.\n\nAnvil to anvil, and figure to ground.\n\nHateful, the sound of recriminations.\n\n \n\nStepping crow. Uncountable Haitians.\n\nHospital, barracks; Harvard and prison.\n\nGive the rhythm what it wants. And the people.\n\n \n\nStepping crow. Horace primeval.\n\nWrist-deep in sheep’s guts, breaking the set.\n\nBut memory is the better poet.\n\n \n\nStepping crow. Clogged is the conduit.\n\nExplain and explain, you try and get on with it:\n\nYou just give ’em something to fight with.\n\n \n\nStepping crow. Christian Enlightenment.\n\nA bubble, sluggish, in a carpenter’s level.\n\nBut bad’s not the Devil.  Bad can be good.\n\n \n\nStepping crow. They misunderstood.\n\nNobody rightly prefers a surprise.\n\nThe wise like looking forward.\n\n \n\nStepping crow. Don’t try to ignore it:\n\nThe strain in the closet and school letting out.\n\nI doubt it’ll ever be casual.\n\n \n\nStepping crow. I just happen to know.\n\nI don’t happen to trust the self I’m serving.\n\nThis pleasure’s a lie, unless it’s permanent.\n\n \n\nStepping crow. And thirteenth tercet.\n\nThe place where the Wall tunnels into the sea.\n\nIt’s not not me you’re aiming at.\n\n \n\nStepping crow. Gotta add and subtract.\n\nI see now we have no choice but to leave\n\nThe brutal honesty to the brutes.\n\n \n\nStepping crow. I know it’s no use.\n\nThe Sport of Kings and the Book of Love.\n\nThey’re not above irregular perquisites.\n\n \n\nStepping crow. Can never be sure of it.\n\nBlood orange, orange; persimmon and onion;\n\nAnd women are young men too …\n\n \n\nStepping crow. Oh, say it ain’t so.\n\nA fist full of leaves and another of arrows:\n\nI’m setting the trap where the passage narrows.",Anthony Madrid,,3
Maxims 1,"The ampalaya, no matter how bitter,\n\nIs sweet to those who like it.\n\nThe hardest person to awaken\n\nIs a lover feigning sleep.\n\n \n\nThe basketball held underwater\n\nWants violently to come up.\n\nEasily split asunder is that\n\nWhich never was united.\n\n \n\nThe water is cold at first, for it\n\nTakes time to heat the pipe.\n\nThe kids run away from home, only to\n\nSit through endless classes.\n\n \n\nYou take the battery out of a watch,\n\nYou turn it into a liar.\n\nYou strip the sheet off a drinking straw\n\nAnd stab it into the scalp.\n\n \n\nThe basketball held underwater\n\nWants violently to come up.\n\nThe one who reads the sutra is not\n\nThe one who knows what is said.\n\n \n\nMy life is as unchanging\n\nAs the surface of the moon.\n\nAnd I give you the same reason:\n\nI have no atmosphere.\n\n \n\nEl hacha ya está puesta\n\nA la raíz de los árboles,\n\nY todo árbol que no produzca buen fruto\n\nIs hewn down and cast into the fire.\n\n \n\nYou take a rose by the throat.\n\nHow much blood comes out your hand\n\nIs how recklessly you took hold,\n\nIs how shamelessly.\n\n \n\nWho wants to be great or holy\n\nHas no lust for peace.\n\nFor peace is a thread only spools on a thing\n\nThat’s good for nothing else.\n\n ",Anthony Madrid,Philosophy,0
Maxims 2,"Has it coming, the pest. Gets irritated, the stuck up. Gets approval, the dimpled. Gets cold, the talk.\n\n\n \n\n\nThe sidewalk separates from the curb. Frogs peek out there. There are passages there, channels.\n\n\n \n\n\nGardens, orderly, get respect; no one hurts them. Only animals, insects, beings without comprehension.\n\n\n \n\n\nA house on a corner lot, good to look up at from the corner, compels. Branches of live oak reach across the way. There must be acorns, black, green, green with earth yellow.\n\n\n \n\n\nThe wind cools the walker. There is nothing to stop the wind up. It finds every walker in its path, cools him, cools her.\n\n\n \n\n\nDirector must direct and make decisions. Buildings on the edges of developments look out over edges. The other world never nearer.\n\n\n \n\n\nBetween towns, roads are lonely. Lonely, too, who cannot bear being lied to. The angry become less intelligent. Do and undo, the day is long enough.\n\n\n \n\n\nLiars do not think they are lying; that’s how they do it. The nut gives way to the teeth; the teeth crush it.\n\n\n \n\n\nSmashed frog in the parking lot turns colors, becomes flat, extends its fingers, does not come back to life when it rains, yet disappears.\n\n\n \n\n\nWonderfully, beliefs antedate evidence. Wonderfully, people seldom believe a thing unless they already wanted it.\n\n\n \n\n\nMany cry when signaled, not pursuant to cognition. What is offered as proof is suspect.\n\n\n \n\n\nSummer makes strategic. Strategy is a pleasure. Whatever people say, to obey, of itself, does not hurt.\n\n\n \n\n\nStray feline must lie in shade, under tree, distrust her well-wisher first. Grackle must shelter under car, direct its thirsty attention to the water there.\n\n\n \n\n\nCut of meat must lose its color on the fire, exchange it, be seasoned. To be accused, rightly or wrongly, feels the same.\n\n\n \n\n\nOld man must speak against his own best interests, for he cannot swallow his complaints, not all of them. Glassware touching glassware gets chipped, broken into triangles, in the move.\n\n\n \n\n\nVital sheet of paper must sometimes be lost. Papers are many. The thing learned at length, the memorized rigmarole, must fade from memory, in time.\n\n\n \n\n\nThe kind word given unexpectedly is good. The hearer must be relieved. The thought that nothing can ever go right again must depart for a time.\n\n\n \n\n\nThe light must change. The waiting person wait longer. The walker must step out of the summer heat wet to the hair roots, the shirt wet.\n\n\n \n\n\nThe sky is the same but seems grander where no buildings are. Colored clouds are remarked; white ones less.\n\n\n \n\n\nOne’s looks, one’s skin color matter less if money has its feet in it. The hated one, the cheated many, are the poor.\n\n\n \n\n\nLean grackle must stalk a branch, mouth open like scissors. Striped raptors, wings in fixed positions, must kite, must circle.\n\n\n \n\n\nBeautiful Soul wants a world in which he or she has no place. Godspeed, sweet intent. Love will creep where it cannot go.\n\n\n \n\n\nStick-figure reptiles, black, must cross the sidewalk by the pool, dartingly. They weigh one paperclip.\n\n\n \n\n\nBeauty enslaves on contact. Better have it than hear of it. Sweet and cunningly seldom meet.\n\n\n \n\n\nIn dragging a bamboo tree, one must snatch it by the eyebrows. The rusty sword and the empty purse plead performance of covenants.\n\n\n \n\n\nEven Graceful must sometimes, in putting on her coat, sweep everything off the table and into the floor. If many strike on an anvil, they must in meter.\n\n\n \n\n\nHe, only, pursues honesty honestly, who has destroyed any possibility of good repute. Whether you boil snow or pound it, you can only have water out of it.\n\n\n \n\n\nCities must have boulevards, vast channels not possible or dangerous to cross. There must be holes in the decomposing concrete, paint invisible at sunrise and sunset, guardrails, median strips, shrines.\n\n\n \n\n\nThe student must wait to do the assignment, wait beyond the advisable point, stay up against a deadline. Must turn in a paper never read, not by the writer, not by the friend.\n\n\n \n\n\nMust muster, thunder, one or two times in a life, a sound to frighten the unfrightenable. Must pour, from the sky, rarely, chips and balls and coins and smooth clusters of partly white, partly clear ice.\n\n\n \n\n\nSome believe, helplessly. Others, less. Some count, tabulate, helplessly. They check calendars. They can’t shake it.\n\n\n \n\n\nWinter travels, hides, shelters. It pursues the lightly dressed into buildings during summer. It lies in wait in restaurants, miscalculates.\n\n\n \n\n\nThe pill and its coating, obnoxious to the child, are welcome enough to the grown swallower. First deserve and then desire. Blow first and sip afterwards.\n\n\n \n\n\nThe wise let it go a great deal. Sorrow is wondrously clinging; clouds glide. The friend who comes apologizing and promising must be received. He is sorry and not sorry and sorry.\n\n\n \n\n\nCourage comes up. Sacrifice, oftener. The disintegrating parking lot is witness to the exchange. Drugs are traded, caresses.\n\n\n \n\n\nThe dog in its heavy coat must lie, half dead, on the porch. Eyes like a bear, tongue like a lion, lethargy.\n\n\n \n\n\nOne must consciously retire. Comes off a train none but was on it. The heirloom ring, wrong-gendered, trash, gets rescued.\n\n\n \n\n\nWhen the spirit of praising is upon him, a man will judge linen by candlelight. Burr oaks yield fewer fruit, but bigger, shag-capped.\n\n\n \n\n\nOne must consciously retire. A helve must fit its ax head. Most laugh before understanding. Fame is best.\n\n\n ",Anthony Madrid,Philosophy,2
Through the Looking Glass,"Mirror, mirror on the wall\n\nshow me in succession all\n\nmy faces, that I may view\n\nand choose which I would like as true.\n\n \n\nTeach me skill to disguise\n\nwhat’s not pleasing to the eyes,\n\nwith faith, that life obeys the rules,\n\nin man or God or football pools.\n\n \n\nAlways keep me well content\n\nto decorate attitude and event\n\nso that somehow behind the scene\n\nI may believe my actions mean;\n\n \n\nthat one can exercise control\n\nin playing out a chosen role;\n\nrub clouded glass and then,\n\nat will, write self on it again.\n\n \n\nBut if, in some unlucky glance,\n\nI should glimpse naked circumstance\n\nin all its nowhere-going-to,\n\nmay you crack before I do.",Veronica Forrest-Thomson,,0
Literary Historian,"I remember them saying,\n\nthese poems, their something\n\nfor someone at sometime\n\nfor me too, at one time.\n\n \n\nThat got in the way;\n\nso I sent them away\n\nback into history—\n\njust temporarily.\n\n \n\nThey won’t come back now.\n\nI can’t remember how\n\nthe words spoke, or what\n\nthey said,\n\nexcept:\n\nWe are all dead",Veronica Forrest-Thomson,Poetry & Poets,0
